circulatingSupply,marketCap,maxSupply,name,price,ticker,website
"
29,684,331
","69,529,015","
57,344,000
",Fusion,2.34,(FSN),https://fusion.org/
"
2,385,386,915
","28,616,294","
5,000,000,000
",Refereum,0.011997,(RFR),https://refereum.com/
"
64,893,677
","68,507,606","
120,000,000
",SALT,1.06,(SALT),https://www.saltlending.com/
"
14,736,400
","28,542,344",,Namecoin,1.94,(NMC),https://www.namecoin.org/
"
135,787,539
","67,658,857","
424,999,998
",Storj,0.498270,(STORJ),https://storj.io/
"
82,353,022
","28,491,263","
1,007,949,847
",Nectar,0.345965,(NEC),https://www.ethfinex.com/
"
238,421,940
","67,319,150","
433,494,437
",Dragonchain,0.282353,(DRGN),https://dragonchain.com/
"
527,511,653
","28,376,856","
1,000,000,000
",IHT Real Estate Protocol,0.053794,(IHT),https://ihtcoin.com/
"
170,400,000
","64,906,042","
210,000,000
",WaykiChain,0.380904,(WICC),http://waykichain.com/
"
50,216,064
","28,172,317","
56,921,773
",DMarket,0.561022,(DMT),https://dmarket.com/
"
5,255,005
","63,804,698",,Blocknet,12.14,(BLOCK),http://blocknet.co/
"
64,355,352
","28,096,710","
84,000,000
",GameCredits,0.436587,(GAME),http://gamecredits.com
"
150,000,000
","63,398,550","
250,000,000
",Matrix AI Network,0.422657,(MAN),https://www.matrixchain.io/
"
86,210,198
","27,913,828","
1,000,000,000
",Scroll,0.323788,(SCRL),https://www.scroll.network/
"
62,660,371
","63,002,497","
83,337,000
",Santiment Network Token,1.01,(SAN),https://santiment.net/
"
879,828,358
","27,879,737","
1,500,000,000
",All Sports,0.031688,(SOC),https://www.allsportschain.com/
"
62,596,808
","62,339,473",,TrueUSD,0.995889,(TUSD),https://www.trusttoken.com/
"
370,323,972
","27,549,067","
2,000,000,000
",DAEX,0.074392,(DAX),https://daex.io/
"
342,699,966
","60,423,830","
1,000,000,000
",Civic,0.176317,(CVC),https://www.civic.com/
"
89,921,436
","27,729,343","
223,534,823
",Trade Token,0.308373,(TIO),https://trade.io/
"
511,336,568
","57,315,716","
548,813,072
",KickCoin,0.112090,(KICK),https://www.kickico.com/
"
215,514,234
","27,599,830","
850,000,000
",Docademic,0.128065,(MTC),https://mtc.docademic.com/
"
10,049,635
","56,287,505","
9,053,635
",Particl,5.60,(PART),http://particl.io/
"
61,577,865
","27,473,888","
100,000,000
",IoT Chain,0.446165,(ITC),https://iotchain.io/
"
99,156,976
","56,236,879",,Iconomi,0.567150,(ICN),https://www.iconomi.net/
"
160,000,000
","27,506,400","
200,000,000
",Jibrel Network,0.171915,(JNT),https://jibrel.network/
"
186,206,993
","55,773,464","
500,000,000
",Bluzelle,0.299524,(BLZ),https://bluzelle.com/
"
809,604,814
","27,360,676","
1,358,371,250
",Red Pulse,0.033795,(RPX),https://www.redpulse.com/landing
"
1,104,590
","55,512,606","
10,000,000
",Gnosis,50.26,(GNO),https://gnosis.pm/
"
63,108,385
","27,208,044",,NavCoin,0.431132,(NAV),http://www.navcoin.org/
"
1,288,862
","55,221,043",,BitcoinDark,42.84,(BTCD),http://bitcoindark.com/
"
824,000,000
","27,237,650","
1,000,000,000
",Aston,0.033055,(ATX),https://www.aston.company/
"
54,971,315
","54,895,290",,Dai,0.998617,(DAI),http://www.makerdao.com/
"
27,000,000
","27,160,110","
27,000,000
",BridgeCoin,1.01,(BCO),https://www.crypto-bridge.org/
"
45,267,400
","54,656,311","
84,000,000
",Vertcoin,1.21,(VTC),http://vertcoin.org/
"
357,431,729
","27,136,824","
10,000,000,000
",QuarkChain,0.075922,(QKC),https://quarkchain.io/
"
10,000,000
","53,955,500","
25,000,000
",Skycoin,5.40,(SKY),http://skycoin.net/
"
8,073,316,774
","27,128,120","
11,287,544,272
",Storiqa,0.003360,(STQ),https://crowdsale.storiqa.com/
"
32,687,957,978
","54,217,881","
 91,584,000,000
",Noah Coin,0.001659,(NOAH),https://noahcoin.org/
"
279,253,992
","26,782,329","
500,000,000
",OriginTrail,0.095907,(TRAC),https://origintrail.io/
"
24,867,464
","54,175,014",,Peercoin,2.18,(PPC),http://www.peercoin.net
"
450,000,000
","26,958,195","
1,000,000,000
",EDUCare,0.059907,(EKT),http://ekt8.io/
"
761,143,950
","53,114,299","
999,449,694
",Ignis,0.069782,(IGNIS),https://www.ardorplatform.org/ignis%E2%80%94first-childchain
"
4,416,350,572
","26,731,640","
9,520,000,000
",APIS,0.006053,(APIS),https://apisplatform.io/
"
4,436,425,098
","52,931,875","
10,000,000,000
",Nucleus Vision,0.011931,(NCASH),https://nucleus.vision/
"
1,010,788
","26,464,543",,SaluS,26.18,(SLS),http://saluscoin.info/
"
41,822,536
","51,366,021",,Ubiq,1.23,(UBQ),http://ubiqsmart.com/
"
29,261,461
","26,318,519","
90,208,328
",Eidoo,0.899426,(EDO),https://eidoo.io/
"
80,070,793
","50,157,706","
86,999,785
",iExec RLC,0.626417,(RLC),http://iex.ec/
"
50,645,588
","25,911,042","
100,000,000
",GoNetwork,0.511615,(GOT),https://gonetwork.co/index.html
"
 1,543,157,590
","50,048,304","
2,147,483,647
",Safe Exchange Coin,0.032432,(SAFEX),http://safex.io/
"
725,940,241
","25,928,045","
999,999,999
",Lympo,0.035716,(LYM),https://lympo.io/
"
54,931,384
","49,754,211","
6,000,000,000
",PRIZM,0.905752,(PZM),http://en.prizm.club/
"
4,626,502,186
","25,608,245","
11,500,000,000
",DATA,0.005535,(DTA),http://data.eco/
"
15,477,224
","49,732,035","
19,325,855
",TokenPay,3.21,(TPAY),https://www.tokenpay.com/
"
1,141,040,005
","25,477,141","
10,000,000,000
",IoTeX,0.022328,(IOTX),https://iotex.io/
"
28,215,645
","49,195,670","
39,609,524
",Aragon,1.74,(ANT),https://aragon.one/
"
15,831,459
","25,251,969",,Aeon,1.60,(AEON),http://www.aeon.cash/
"
1,031,355,785
","48,716,916","
2,000,000,000
",MediShares,0.047236,(MDS),http://www.medishares.org/
"
500,000,000
","24,868,750","
1,000,000,000
",Zeepin,0.049737,(ZPT),https://www.zeepin.io/
"
2,361,679,677
","48,508,664","
5,541,679,677
",Time New Bank,0.020540,(TNB),http://tnb.fund/
"
37,341,840
","24,921,757","
69,403,131
",United Traders Token,0.667395,(UTT),https://uttoken.io/
"
13,362,763
","48,502,820","
14,109,128
",Neblio,3.63,(NEBL),https://nebl.io/
"
19,361,889,557
","24,907,716","
30,000,000,000
",NANJCOIN,0.001286,(NANJ),https://nanjcoin.com/
"
539,673,260
","48,055,853","
1,000,000,000
",SingularityNET,0.089046,(AGI),https://singularitynet.io/
"
2,582,965,294
","24,872,871","
6,000,000,000
",Sakura Bloom,0.009630,(SKB),https://www.skb-coin.jp/en/
"
79,256,577
","47,931,525","
99,983,577
",Crypterium,0.604764,(CRPT),https://crypterium.io/
"
1,967,569,736
","25,079,628","
2,158,812,800
",Burst,0.012746,(BURST),https://www.burst-coin.org
"
1,413,716,694
","47,926,268","
3,141,592,653
",SmartMesh,0.033901,(SMT),https://smartmesh.io/
"
376,657,502
","24,457,238","
887,990,859
",Mobius,0.064932,(MOBI),https://mobius.network/
"
760,692,535
","47,579,645","
1,000,000,000
",Enjin Coin,0.062548,(ENJ),https://enjincoin.io/
"
841,750,000
","23,872,283","
942,000,000
",BitRent,0.028360,(RNTB),https://bitrent.io
"
70,544,739
","46,637,832","
105,000,000
",Groestlcoin,0.661110,(GRS),http://www.groestlcoin.org/
"
35,973,085,511
","23,857,962","
39,999,999,905
",CasinoCoin,0.000663,(CSC),http://casinocoin.org/
"
697,761,002
","46,479,256","
999,990,765
",Request Network,0.066612,(REQ),https://request.network/
"
463,910,527
","23,795,595","
1,000,000,000
",Ink,0.051293,(INK),https://ink.one/
"
923,800,000
","46,378,455","
1,840,000,000
",Ruff,0.050204,(RUFF),http://ruffchain.com/
"
180,265,388
","23,743,836","
555,165,392
",LBRY Credits,0.131716,(LBC),https://lbry.io/
"
1,500,000,000
","46,577,550","
10,000,000,000
",DeepBrain Chain,0.031052,(DBC),https://www.deepbrainchain.org/
"
120,324,679
","23,737,532","
217,698,062
",LGO Exchange,0.197279,(LGO),https://legolas.exchange/
"
96,727,971
","45,583,443","
10,000,000,000
",TaTaTu,0.471254,(TTU),https://tatatutoken.io/
"
401,698,440
","23,547,723","
473,198,440
",Gulden,0.058620,(NLG),https://gulden.com/
"
508,690,153
","45,246,768","
1,000,000,000
",Bottos,0.088948,(BTO),https://www.bottos.org/
"
660,755,177
","23,448,681","
1,200,000,000
",eosDAC,0.035488,(EOSDAC),https://eosdac.io/
"
6,906,847,847
","44,839,118","
8,589,869,056
",DigitalNote,0.006492,(XDN),http://www.digitalnote.biz/
"
2,599,420,370
","23,359,847","
8,000,000,000
",Egretia,0.008987,(EGT),http://egretia.io/
